"fnf.lang.arabic","العربية"
"fnf.lang.chinesesimple","正体字"
"fnf.lang.chinesetranditional","正體字"
"fnf.lang.deutsch","deutsch"
"fnf.lang.english","english"
"fnf.lang.espanol","español"
"fnf.lang.francais","français"
"fnf.lang.italiano","italiano"
"fnf.lang.japanese","日本語"
"fnf.lang.korean","한글"
"fnf.lang.russian","русский язык"
"fnf.theme.alpaca.desc","Alpaca"
"fnf.theme.alpaca.name","Alpaca"
"fnf.theme.bear.desc","Bear"
"fnf.theme.bear.name","Bear"
"fnf.theme.boo.desc","Boo"
"fnf.theme.boo.name","Boo"
"fnf.theme.cameleon.desc","Cameleon"
"fnf.theme.cameleon.name","Cameleon"
"fnf.theme.chick.desc","Chick"
"fnf.theme.chick.name","Chick"
"fnf.theme.chicken.desc","Chicken"
"fnf.theme.chicken.name","Chicken"
"fnf.theme.cow.desc","Cow"
"fnf.theme.cow.name","Cow"
"fnf.theme.crocodile.desc","Crocodile"
"fnf.theme.crocodile.name","Crocodile"
"fnf.theme.elephant.desc","Elephant"
"fnf.theme.elephant.name","Elephant"
"fnf.theme.frog.desc","Frog"
"fnf.theme.frog.name","Frog"
"fnf.theme.furseal.desc","Furseal"
"fnf.theme.furseal.name","Furseal"
"fnf.theme.gibbon.desc","Gibbon"
"fnf.theme.gibbon.name","Gibbon"
"fnf.theme.giraffe.desc","Giraffe"
"fnf.theme.giraffe.name","Giraffe"
"fnf.theme.greenturtle.desc","Greenturtle"
"fnf.theme.greenturtle.name","Greenturtle"
"fnf.theme.hippopotamus.desc","Hippopotamus"
"fnf.theme.hippopotamus.name","Hippopotamus"
"fnf.theme.horse.desc","Horse"
"fnf.theme.horse.name","Horse"
"fnf.theme.jindo.desc","Jindo"
"fnf.theme.jindo.name","Jindo"
"fnf.theme.lion.desc","Lion"
"fnf.theme.lion.name","Lion"
"fnf.theme.lioness.desc","Lioness"
"fnf.theme.lioness.name","Lioness"
"fnf.theme.loli.desc","Loli"
"fnf.theme.loli.name","Loli"
"fnf.theme.naru.desc","Naru"
"fnf.theme.naru.name","Naru"
"fnf.theme.otter.desc","Otter"
"fnf.theme.otter.name","Otter"
"fnf.theme.panda.desc","Panda"
"fnf.theme.panda.name","Panda"
"fnf.theme.penguin.desc","Penguin"
"fnf.theme.penguin.name","Penguin"
"fnf.theme.persian.desc","Persian"
"fnf.theme.persian.name","Persian"
"fnf.theme.pig.desc","Pig"
"fnf.theme.pig.name","Pig"
"fnf.theme.pigblack.desc","Pigblack"
"fnf.theme.pigblack.name","Pigblack"
"fnf.theme.polarbear.desc","Polarbear"
"fnf.theme.polarbear.name","Polarbear"
"fnf.theme.pomeranian.desc","Pomeranian"
"fnf.theme.pomeranian.name","Pomeranian"
"fnf.theme.pomewhite.desc","Pomewhite"
"fnf.theme.pomewhite.name","Pomewhite"
"fnf.theme.rabbit.desc","Rabbit"
"fnf.theme.rabbit.name","Rabbit"
"fnf.theme.raccoon.desc","Raccoon"
"fnf.theme.raccoon.name","Raccoon"
"fnf.theme.santa.desc","Santa"
"fnf.theme.santa.name","Santa"
"fnf.theme.sealion.desc","Sealion"
"fnf.theme.sealion.name","Sealion"
"fnf.theme.sheep.desc","Sheep"
"fnf.theme.sheep.name","Sheep"
"fnf.theme.soan.desc","Soan"
"fnf.theme.soan.name","Soan"
"fnf.theme.welshcorgi.desc","Welshcorgi"
"fnf.theme.welshcorgi.name","Welshcorgi"
"fnf.ui.best","BEST"
"fnf.ui.bi","01ad431869b5f4af08a632a055d7a27a"
"fnf.ui.buy","BUY"
"fnf.ui.credits","CREDITS"
"fnf.ui.home","HOME"
"fnf.ui.language","LANGUAGE"
"fnf.ui.mute","MUTE"
"fnf.ui.ok","OK"
"fnf.ui.option","OPTION"
"fnf.ui.pause","PAUSE"
"fnf.ui.portugues","português"
"fnf.ui.rank","RANK"
"fnf.ui.restore","RESTORE PURCHASES"
"fnf.ui.retry","RETRY"
"fnf.ui.reward","Ad BONUS"
"fnf.ui.share","SHARE"
"fnf.ui.start","START"
"fnf.ui.title","Animal Bang"
"fnf.ui.tutorial","TUTORIAL"
"fnf.ui.tutorial.1","swipe to move all boxes"
"fnf.ui.tutorial.2","when two boxes with the same
box touch, they merge into one!"
"fnf.ui.tutorial.3","It's over when the board fills up"
"fnf.ui.tutorial.4","join the boxes and
get to the biggest box!"
"fnf.ui.unmute","UNMUTE"
